Product_ID,Inspection_Date,Defect_Type,Defect_Count,Root_Cause,Correction_Cost_USD,Inspector
P_1,1/1/2023,Surface,13,Supplier,290,Inspector C
P_2,1/2/2023,Size,45,Design Issue,452,Inspector D
P_3,1/3/2023,Size,44,Manufacturing Process,233,Inspector B
P_4,1/4/2023,Size,12,Supplier,184,Inspector D
P_5,1/5/2023,Surface,40,Design Issue,209,Inspector D
P_6,1/6/2023,Color,31,Operator Error,147,Inspector D
P_7,1/7/2023,Size,17,Supplier,258,Inspector B
P_8,1/8/2023,Shape,9,Design Issue,312,Inspector D
P_9,1/9/2023,Material,27,Design Issue,410,Inspector C
P_10,1/10/2023,Shape,49,Supplier,123,Inspector A
P_11,1/11/2023,Color,8,Manufacturing Process,303,Inspector D
P_12,1/12/2023,Shape,20,Design Issue,246,Inspector C
P_13,1/13/2023,Color,26,Manufacturing Process,410,Inspector A
P_14,1/14/2023,Surface,47,Supplier,231,Inspector D
P_15,1/15/2023,Shape,22,Manufacturing Process,435,Inspector C
P_16,1/16/2023,Size,22,Operator Error,423,Inspector D
P_17,1/17/2023,Shape,26,Material Issue,349,Inspector D
P_18,1/18/2023,Shape,18,Operator Error,179,Inspector D
P_19,1/19/2023,Surface,48,Design Issue,242,Inspector C
P_20,1/20/2023,Color,36,Manufacturing Process,165,Inspector C
P_21,1/21/2023,Surface,24,Manufacturing Process,441,Inspector D
P_22,1/22/2023,Size,7,Material Issue,450,Inspector A
P_23,1/23/2023,Color,13,Operator Error,453,Inspector A
P_24,1/24/2023,Shape,37,Operator Error,189,Inspector A
P_25,1/25/2023,Color,45,Design Issue,104,Inspector D
P_26,1/26/2023,Color,10,Supplier,314,Inspector D
P_27,1/27/2023,Color,40,Supplier,343,Inspector C
P_28,1/28/2023,Color,29,Operator Error,429,Inspector C
P_29,1/29/2023,Color,29,Operator Error,284,Inspector A
P_30,1/30/2023,Shape,6,Manufacturing Process,218,Inspector C
P_31,1/31/2023,Size,44,Operator Error,480,Inspector D
P_32,2/1/2023,Surface,33,Operator Error,133,Inspector C
P_33,2/2/2023,Material,46,Operator Error,497,Inspector D
P_34,2/3/2023,Size,44,Supplier,281,Inspector C
P_35,2/4/2023,Shape,44,Operator Error,339,Inspector D
P_36,2/5/2023,Size,14,Manufacturing Process,470,Inspector D
P_37,2/6/2023,Surface,23,Manufacturing Process,489,Inspector D
P_38,2/7/2023,Color,25,Operator Error,360,Inspector D
P_39,2/8/2023,Color,17,Manufacturing Process,160,Inspector B
P_40,2/9/2023,Material,11,Operator Error,108,Inspector C
P_41,2/10/2023,Surface,25,Operator Error,301,Inspector B
P_42,2/11/2023,Shape,18,Design Issue,153,Inspector C
P_43,2/12/2023,Material,27,Manufacturing Process,461,Inspector D
P_44,2/13/2023,Material,32,Design Issue,150,Inspector B
P_45,2/14/2023,Shape,49,Material Issue,404,Inspector B
P_46,2/15/2023,Material,5,Material Issue,368,Inspector A
P_47,2/16/2023,Material,22,Material Issue,186,Inspector A
P_48,2/17/2023,Color,8,Operator Error,298,Inspector A
P_49,2/18/2023,Shape,29,Manufacturing Process,405,Inspector C
P_50,2/19/2023,Surface,40,Supplier,404,Inspector C
P_51,2/20/2023,Color,46,Manufacturing Process,155,Inspector B
P_52,2/21/2023,Material,24,Material Issue,185,Inspector A
P_53,2/22/2023,Color,26,Design Issue,373,Inspector C
P_54,2/23/2023,Material,34,Operator Error,440,Inspector D
P_55,2/24/2023,Material,21,Manufacturing Process,496,Inspector C
P_56,2/25/2023,Size,23,Operator Error,443,Inspector C
P_57,2/26/2023,Shape,45,Manufacturing Process,335,Inspector C
P_58,2/27/2023,Shape,18,Manufacturing Process,470,Inspector A
P_59,2/28/2023,Size,28,Design Issue,435,Inspector D
P_60,3/1/2023,Surface,11,Manufacturing Process,476,Inspector B
P_61,3/2/2023,Shape,14,Design Issue,476,Inspector D
P_62,3/3/2023,Color,35,Material Issue,212,Inspector C
P_63,3/4/2023,Shape,24,Material Issue,236,Inspector D
P_64,3/5/2023,Shape,33,Design Issue,430,Inspector D
P_65,3/6/2023,Surface,49,Operator Error,123,Inspector C
P_66,3/7/2023,Size,14,Design Issue,143,Inspector C
P_67,3/8/2023,Color,24,Operator Error,129,Inspector B
P_68,3/9/2023,Size,25,Operator Error,392,Inspector C
P_69,3/10/2023,Size,7,Manufacturing Process,158,Inspector A
P_70,3/11/2023,Color,9,Manufacturing Process,485,Inspector B
